Stock,Weight
AAPL,0.018280400816286305
GOOG,0.008912947572149542
MSFT,0.013417260780087746
AMZN,0.051982201477640794
TSLA,0.014885520380402669
NVDA,0.038506926354208555
JPM,0.042899789714086506
JNJ,0.07694375036050823
V,0.006129810346794097
BA,0.009300294767218227
MRK,0.025757482170371892
CMCSA,0.03858651390488084
CSCO,0.008685826960460472
ABBV,0.04324090730731072
CVS,0.012975369825544541
INTC,0.11959906662959129
MCD,0.011751311262965032
COST,0.015352774992472671
TMUS,0.09233577420054936
BMY,0.0916460723545489
ORCL,0.027692383958331797
UNP,0.025326443351929788
MDT,0.0019797119328417304
MMM,0.027137505027991143
F,0.004091065225955279
IBM,0.0022099362782817926
CAT,0.01717707597698396
GE,0.06299489904717723
XOM,0.09020097702242896
