Date,2017,2018,2019
2017-01-03,0.0,0.0,0.0
2017-01-04,0.01055206773116404,0.0,0.0
2017-01-05,0.012342659081719743,0.0,0.0
2017-01-06,0.01777959196332721,0.0,0.0
2017-01-09,0.017173418271519556,0.0,0.0
2017-01-10,0.019160075481789753,0.0,0.0
2017-01-11,0.020078495245560407,0.0,0.0
2017-01-12,0.020409624875597752,0.0,0.0
2017-01-13,0.025994560976649088,0.0,0.0
2017-01-17,0.024058691298104295,0.0,0.0
2017-01-18,0.027485955660466903,0.0,0.0
2017-01-19,0.031227538831923075,0.0,0.0
2017-01-20,0.03388864378231661,0.0,0.0
2017-01-23,0.03131063283063004,0.0,0.0
2017-01-24,0.03927000506112535,0.0,0.0
2017-01-25,0.05767329063407628,0.0,0.0
2017-01-26,0.06177007867759466,0.0,0.0
2017-01-27,0.06107691244956629,0.0,0.0
2017-01-30,0.053613518071023006,0.0,0.0
2017-01-31,0.049753804006080815,0.0,0.0
2017-02-01,0.050784763132074,0.0,0.0
2017-02-02,0.0505754837645375,0.0,0.0
2017-02-03,0.051349286541653646,0.0,0.0
2017-02-06,0.05772853715801971,0.0,0.0
2017-02-07,0.06403717041110435,0.0,0.0
2017-02-08,0.060904665061457426,0.0,0.0
2017-02-09,0.06671168968968652,0.0,0.0
2017-02-10,0.07461306677399981,0.0,0.0
2017-02-13,0.0848663687988848,0.0,0.0
2017-02-14,0.08818599337627903,0.0,0.0
2017-02-15,0.0917518909552373,0.0,0.0
2017-02-16,0.09005086269492152,0.0,0.0
2017-02-17,0.10029890183179982,0.0,0.0
2017-02-21,0.11091437853038981,0.0,0.0
2017-02-22,0.10739619561439105,0.0,0.0
2017-02-23,0.10248816288156339,0.0,0.0
2017-02-24,0.10530563405610452,0.0,0.0
2017-02-27,0.10079647421791613,0.0,0.0
2017-02-28,0.10504201760404368,0.0,0.0
2017-03-01,0.11724185586235279,0.0,0.0
2017-03-02,0.11388961377714134,0.0,0.0
2017-03-03,0.11233017389453075,0.0,0.0
2017-03-06,0.10858723616976758,0.0,0.0
2017-03-07,0.10824683241104094,0.0,0.0
2017-03-08,0.1065967012670352,0.0,0.0
2017-03-09,0.10441034339848199,0.0,0.0
2017-03-10,0.10050439797515025,0.0,0.0
2017-03-13,0.10178446445434004,0.0,0.0
2017-03-14,0.10730777588784314,0.0,0.0
2017-03-15,0.10954579205515594,0.0,0.0
2017-03-16,0.11103392606427648,0.0,0.0
2017-03-17,0.11582514003647883,0.0,0.0
