Date,2017,2018,2019
2017-01-03,0.0,0.0,0.0
2017-01-04,0.017528035192495815,0.0,0.0
2017-01-05,0.012286642808414103,0.0,0.0
2017-01-06,0.02011040322688435,0.0,0.0
2017-01-09,0.03330959597141815,0.0,0.0
2017-01-10,0.031397308241965974,0.0,0.0
2017-01-11,0.02620688143651932,0.0,0.0
2017-01-12,0.020022938499694422,0.0,0.0
2017-01-13,0.028364668514033145,0.0,0.0
2017-01-17,0.020103768727072834,0.0,0.0
2017-01-18,0.029340779400261585,0.0,0.0
2017-01-19,0.04056862643703399,0.0,0.0
2017-01-20,0.038342200672294886,0.0,0.0
2017-01-23,0.04481423730201133,0.0,0.0
2017-01-24,0.058971054621828056,0.0,0.0
2017-01-25,0.06384698487207176,0.0,0.0
2017-01-26,0.06760817263733294,0.0,0.0
2017-01-27,0.07378172402493997,0.0,0.0
2017-01-30,0.06539683627649137,0.0,0.0
2017-01-31,0.06370645763046212,0.0,0.0
2017-02-01,0.07411546337248831,0.0,0.0
2017-02-02,0.08548019875510514,0.0,0.0
2017-02-03,0.0838334348246267,0.0,0.0
2017-02-06,0.09617759260452716,0.0,0.0
2017-02-07,0.10234476015279213,0.0,0.0
2017-02-08,0.10537899472690859,0.0,0.0
2017-02-09,0.10857899518637948,0.0,0.0
2017-02-10,0.10274691837792135,0.0,0.0
2017-02-13,0.0991802787149781,0.0,0.0
2017-02-14,0.10373888002256683,0.0,0.0
2017-02-15,0.10639510190710928,0.0,0.0
2017-02-16,0.09322783023227757,0.0,0.0
2017-02-17,0.09797114387462094,0.0,0.0
2017-02-21,0.11491549337747758,0.0,0.0
2017-02-22,0.11005557722049089,0.0,0.0
2017-02-23,0.06291607586759237,0.0,0.0
2017-02-24,0.06909721546851917,0.0,0.0
2017-02-27,0.06918480405641884,0.0,0.0
2017-02-28,0.06222833627235226,0.0,0.0
2017-03-01,0.0707611371905642,0.0,0.0
2017-03-02,0.05659658811817476,0.0,0.0
2017-03-03,0.049912030081120516,0.0,0.0
2017-03-06,0.04339773917445603,0.0,0.0
2017-03-07,0.04470621069349064,0.0,0.0
2017-03-08,0.04134925324265953,0.0,0.0
2017-03-09,0.038605002591494374,0.0,0.0
2017-03-10,0.04074589980264404,0.0,0.0
2017-03-13,0.050171371819225215,0.0,0.0
2017-03-14,0.05982287031138193,0.0,0.0
2017-03-15,0.0641438868835016,0.0,0.0
2017-03-16,0.07346052903833228,0.0,0.0
2017-03-17,0.08094049024833572,0.0,0.0
