id;nhogar;zona;v2_3;v4;h2_2;hacinam_3;tipoho_2;fexp
171;1;1;3;1;2;1;2;295
172;1;2;2;1;2;1;2;1440
173;1;3;2;2;2;1;1;737
174;1;2;1;2;3;2;1;328
175;1;3;2;2;2;2;1;148
176;1;2;2;4;1;1;2;2141
177;1;2;2;6;1;1;1;275
178;1;2;2;2;2;2;1;888
179;1;2;2;2;2;1;1;1686
180;1;3;2;2;2;1;2;488
181;1;1;2;3;2;1;1;386
182;1;2;2;2;2;1;2;1325
183;1;2;2;3;2;1;2;657
184;1;1;2;2;2;1;1;729
185;1;1;2;2;2;1;1;369
186;1;1;2;3;2;1;1;569
187;1;3;2;1;2;1;2;464
188;1;2;2;3;2;1;2;1791
189;1;2;2;3;2;1;1;465
190;1;1;2;3;2;1;3;451
191;1;1;2;2;2;1;2;1127
192;1;1;2;2;2;1;1;423
193;1;3;2;2;2;1;2;545
194;1;1;2;1;2;1;2;159
195;1;3;1;2;3;2;1;348
196;1;2;1;3;3;1;1;288
197;1;3;1;1;3;2;1;276
198;1;2;2;1;2;1;2;378
199;1;3;1;1;3;2;1;356
200;1;3;2;3;3;1;1;713
201;1;2;2;1;2;2;1;2314
202;1;3;2;3;1;1;3;464
203;1;2;1;1;2;2;1;371
204;1;3;1;2;3;1;1;294
205;1;1;2;2;2;1;1;527
206;1;3;1;2;3;2;1;449
207;1;2;2;2;2;2;1;797
208;1;2;2;2;2;1;1;1497
209;1;1;2;4;3;1;2;688
210;1;3;2;1;2;1;2;652
211;1;1;2;2;1;1;1;489
212;1;3;1;6;1;1;2;581
213;1;1;2;2;2;1;1;446
214;1;1;2;5;1;1;3;391
215;1;1;2;2;2;1;2;542
216;1;1;2;3;2;1;1;523
217;1;2;2;2;2;1;1;188
218;1;1;2;5;2;1;3;318
219;1;1;2;1;2;2;1;713
220;1;1;2;2;2;1;1;520
221;1;1;2;3;1;1;1;461
222;1;1;2;2;1;1;1;338
223;1;1;2;2;2;1;1;90
224;1;3;2;2;1;1;2;762
225;1;1;2;2;2;1;1;1056
226;1;2;2;2;2;1;1;1548
227;1;2;3;2;2;2;1;347
228;1;2;3;1;2;2;1;302
229;1;3;1;2;2;1;1;276
230;1;3;1;1;1;2;1;302
231;1;2;3;1;2;1;2;160
232;1;2;2;4;1;1;1;1339
233;1;3;1;2;3;1;1;276
234;1;3;2;2;2;1;1;245
235;1;2;2;1;2;2;1;2044
236;1;3;2;2;2;1;1;826
237;1;2;2;2;2;2;1;253
238;1;3;1;3;3;1;1;330
239;1;3;2;3;3;2;1;439
240;1;2;2;3;2;1;1;1798
241;1;2;2;1;2;1;2;304
242;1;2;1;2;3;2;1;333
243;1;2;2;2;3;1;2;1377
244;1;2;2;2;2;1;1;771
245;1;2;2;2;2;1;2;766
246;1;1;2;2;2;1;2;810
247;1;2;2;1;2;1;2;631
248;1;1;2;3;2;1;1;720
249;1;2;2;2;2;1;2;579
250;1;1;2;3;1;1;1;490
251;1;3;2;2;1;1;1;359
252;1;1;2;3;1;1;2;632
253;1;1;2;2;1;1;2;607
254;1;2;2;3;2;1;2;2290
255;1;1;2;1;2;1;2;137
256;1;2;2;2;1;1;2;276
257;1;2;2;1;2;2;1;258
258;1;2;2;1;2;1;2;169
259;1;1;2;2;2;1;2;131
260;1;1;2;2;2;1;2;711
261;1;1;2;1;2;1;2;109
262;1;3;2;1;2;1;2;522
263;1;2;2;3;2;1;3;1429
264;1;1;2;2;2;1;3;415
265;1;1;2;2;2;1;1;362
266;1;1;2;2;1;1;3;432
267;1;2;2;2;2;1;1;1193
268;1;2;1;2;3;2;1;302
269;1;2;1;3;3;1;1;264
270;1;3;2;2;2;1;1;652
271;1;2;3;1;2;2;1;421
272;1;3;1;2;1;2;1;193
273;1;2;1;1;3;2;1;365
274;1;2;1;1;3;2;1;284
275;1;3;3;2;2;2;1;471
276;1;3;2;2;2;1;2;843
277;1;3;2;3;1;1;1;564
278;1;2;1;3;3;1;2;150
279;1;2;2;2;2;1;1;876
280;1;2;2;2;2;1;1;1683
281;1;2;2;2;2;1;1;664
282;1;2;2;2;2;1;1;542
283;1;2;2;3;2;1;1;1009
284;1;2;3;1;3;2;1;603
285;1;2;2;2;2;1;1;2172
286;1;3;2;4;1;1;3;424
287;1;3;1;5;2;1;1;57
288;1;2;2;2;2;1;1;1203
289;1;2;2;3;2;1;1;877
290;1;3;1;3;2;1;1;165
291;1;1;2;2;2;1;1;550
292;1;1;2;2;2;1;2;664
293;1;2;2;1;1;2;1;2045
294;1;2;2;3;2;1;1;214
295;1;1;2;3;1;1;1;290
296;1;2;2;2;2;1;2;542
297;1;1;2;2;1;1;2;664
298;1;1;2;2;2;1;2;607
299;1;1;2;1;1;1;2;531
300;1;1;2;3;1;1;2;664
301;1;2;2;1;1;2;1;1472
302;1;1;2;2;2;1;2;968
303;1;2;2;3;3;1;2;1751
304;1;3;1;3;3;1;1;1378
305;1;2;1;3;2;1;1;1374
306;1;1;2;2;2;1;1;359
307;1;2;2;2;2;1;1;1315
308;1;1;2;3;2;1;1;431
309;1;3;2;3;1;1;1;734
310;1;2;2;1;3;1;2;1376
311;1;3;2;2;2;1;1;179
312;1;2;2;1;2;1;2;1251
313;1;3;1;1;3;2;1;275
314;1;2;3;1;2;2;1;254
315;1;3;2;2;2;2;1;999
316;1;3;2;2;2;2;1;293
317;1;3;2;3;2;1;2;521
318;1;1;2;2;1;1;1;348
319;1;2;2;2;2;1;2;1786
320;1;3;2;2;2;2;1;222
321;1;3;2;3;1;1;1;599
322;1;2;2;3;1;1;1;1668
323;1;2;2;3;1;1;1;1265
324;1;1;2;1;2;1;2;1040
325;1;2;2;3;1;1;2;596
326;1;1;2;5;1;1;1;653
327;1;2;2;3;2;1;1;575
328;1;2;2;2;3;1;1;481
329;1;1;2;2;2;1;1;464
330;1;2;2;2;2;1;2;602
331;1;1;2;2;2;1;2;645
332;1;1;2;3;1;1;1;518
333;1;2;2;2;2;1;1;285
334;1;1;2;2;2;1;2;711
335;1;1;2;2;2;1;1;483
336;1;2;2;3;1;1;3;1250
337;1;2;2;1;2;2;1;1193
338;1;1;2;3;1;1;1;645
339;1;2;2;1;2;1;2;1356
340;1;1;2;2;2;1;2;1031
341;1;3;2;3;2;1;1;592
342;1;2;3;1;2;2;1;362
343;1;1;3;1;2;1;2;252
344;1;1;2;3;1;1;2;1276
345;1;2;3;2;2;2;1;257
346;1;1;2;2;1;1;1;443
347;1;3;1;2;3;2;1;347
348;1;3;2;5;3;1;1;904
349;1;3;3;2;3;2;1;261
350;1;2;2;1;3;2;1;1725
351;1;3;2;2;2;1;1;638
352;1;2;1;2;3;2;1;300
353;1;2;3;1;2;2;1;216
354;1;3;2;3;2;1;1;188
355;1;2;1;1;2;2;1;259
356;1;2;2;2;2;1;1;724
357;1;3;1;3;3;1;1;291
358;1;3;3;1;2;2;1;417
359;1;3;2;2;2;1;2;399
360;1;2;2;4;2;1;1;204
361;1;3;1;1;2;2;1;293
362;1;2;2;3;2;1;3;148
363;1;3;2;3;2;1;1;733
364;1;3;2;1;2;1;2;161
365;1;2;3;1;3;2;1;154
366;1;2;2;3;2;1;1;1367
367;1;1;2;3;1;1;1;910
368;1;1;2;2;2;1;2;819
369;1;2;2;2;3;2;1;2415
370;1;2;2;2;2;1;2;1424
371;1;2;2;2;2;1;2;596
372;1;2;2;2;2;1;2;663
373;1;2;2;2;2;1;3;697
